invoice_id,supplier_gstin,buyer_gstin,taxable_value,gst_amount,period,mismatch_type,mismatch_flag
INV35,96swUv53902FZ8,96XhwL38987kZ3,90319,16257.42,2024-03,NO_GSTR1,True
INV36,83vnAw87875aZ7,90pRLg42834WZ0,68902,12402.36,2024-02,NONE,False
INV37,61PNpA96969UZ0,29wRfq61178CZ6,87025,23496.75,2024-03,GST_MISMATCH,True
INV38,55XUrF97891fZ9,94LWht17951FZ0,39283,7070.94,2024-03,NO_GSTR1,True
INV39,87OMKX68644WZ4,36AZpw17301IZ2,16563,2981.34,2024-02,NONE,False
INV40,16RVLp52995hZ6,41saXq80858tZ5,92813,16706.34,2024-03,NO_GSTR1,True
INV41,32GOPk03661EZ8,99QMWn62865SZ6,69117,12441.06,2024-03,NO_GSTR1,True
INV42,68hRnK54755fZ0,11iaut95099gZ6,46886,8439.48,2024-01,NONE,False
INV43,11cyJh50623cZ6,87OMKX68644WZ4,82769,14898.42,2024-03,NONE,False
INV44,34YMbe37222rZ8,01UvSf42947WZ3,57169,10290.42,2024-02,NONE,False
INV45,71Bwog06880iZ2,03SLFT03474GZ6,56493,10168.74,2024-02,NONE,False
INV46,32GOPk03661EZ8,41saXq80858tZ5,28155,5067.9,2024-02,NONE,False
INV47,87BvWD94002mZ8,52Eflr55429oZ3,2816,506.88,2024-02,NONE,False
INV48,16Cjlm97134vZ0,72njHu56423UZ7,75461,13582.98,2024-02,NONE,False
INV49,03Jmhx57093WZ9,08ywxr33311jZ5,30006,5401.08,2024-02,NONE,False
INV50,19NBsz37963NZ9,29wRfq61178CZ6,16802,3024.36,2024-01,NONE,False
INV51,64qXfa12882QZ5,55FEyn11262tZ6,66530,11975.4,2024-03,LATE_FILING,True
INV52,71hkvY27699hZ9,89QDoN54467VZ8,83935,15108.3,2024-01,NONE,False
INV53,66Xsjt34944TZ4,01veKv74401DZ2,33016,5942.88,2024-03,NONE,False
INV54,83BAMJ12615jZ6,55rcNC70547UZ5,52631,9473.58,2024-02,NONE,False
INV55,77lTMC87020xZ2,74Avec47845TZ5,77319,13917.42,2024-01,NONE,False
INV56,52pgZl62947SZ9,06DgPT41839zZ8,67624,12172.32,2024-01,NONE,False
INV57,93LVMw24627LZ2,87DQFD28049yZ8,78053,14049.54,2024-01,NONE,False
INV58,01gszS11368MZ9,42AOVI09449zZ0,11408,2053.44,2024-03,NONE,False
INV59,97TPAj87036OZ1,49TDNt56239XZ4,86682,15602.76,2024-03,NONE,False
INV60,63EDHW55351PZ7,31UMZj57050jZ3,62159,11188.62,2024-02,NONE,False
INV61,66suBL38792UZ5,11nmPv34412yZ6,20807,3745.26,2024-03,NONE,False
INV62,90PGuA23277kZ6,39yRSB91817iZ1,30342,5461.56,2024-01,NONE,False
INV63,38eoBB04666kZ9,96XhwL38987kZ3,91622,16491.96,2024-02,NONE,False
INV64,86XKdi02752cZ1,26gafi22393WZ6,22447,4040.46,2024-03,NONE,False
INV65,42NpSi95695FZ2,81uQeA78791VZ1,87236,23553.72,2024-03,GST_MISMATCH,True
INV66,67bvfX98249UZ1,19diih27459RZ9,18665,3359.7,2024-01,NONE,False
INV67,39nTuT29824SZ5,83vnAw87875aZ7,16363,2945.34,2024-02,NONE,False
INV68,38eoBB04666kZ9,21rFbu32928mZ8,27159,4888.62,2024-02,LATE_FILING,True
INV69,71uYRh91112rZ5,38eoBB04666kZ9,67114,12080.52,2024-03,NONE,False
INV70,03SLFT03474GZ6,52gKST29865uZ4,7083,1274.94,2024-02,NONE,False
INV71,58laFN26531MZ5,49kbvb68497sZ0,76856,13834.08,2024-01,NONE,False
INV72,81uQeA78791VZ1,56IUYN81951cZ9,31022,8375.94,2024-01,GST_MISMATCH,True
INV73,23ULhs20108oZ6,03roPr74598rZ7,97986,17637.48,2024-01,NONE,False
INV74,34ZnzD87385zZ9,13HQtV23521NZ4,53413,9614.34,2024-01,NONE,False
INV75,22pMst60691cZ2,21mOik94310mZ3,30212,5438.16,2024-03,LATE_FILING,True
INV76,60LoZT86746MZ4,85gOqY36777EZ2,54294,9772.92,2024-03,NONE,False
INV77,83rKNv44954mZ8,61edLI93652zZ1,39676,7141.68,2024-02,NONE,False
INV78,75ARtt11618GZ9,21rFbu32928mZ8,14736,2652.48,2024-01,NONE,False
INV79,95UTVv36323bZ4,92tZFq27187UZ3,43642,7855.56,2024-02,HIGH_VALUE_SUSPICIOUS,True
INV80,43SFNf52573kZ9,77uRIY60355EZ5,45926,8266.68,2024-01,NONE,False
INV81,10qLPi02464SZ2,75fssf82632OZ3,60853,10953.54,2024-03,NONE,False
INV82,80EQCA61710KZ6,58Ygee72881JZ7,93610,16849.8,2024-01,NONE,False
INV83,95qrKV12417QZ7,88vVna91350cZ3,12400,2232.0,2024-03,NONE,False
INV84,49lPfX36080wZ9,53fqZj16376vZ4,11280,2030.4,2024-02,NONE,False
INV85,05xBJq33988oZ1,48qngM09756dZ0,84767,15258.06,2024-02,NONE,False
INV86,49ogZT08081BZ4,56sRmr96388gZ9,99653,17937.54,2024-01,NONE,False
INV87,34gZDd65027KZ9,79ebMz50521iZ3,76018,13683.24,2024-03,NONE,False
INV88,13umoZ80244LZ4,78WGgJ68279vZ6,31301,5634.18,2024-03,NO_GSTR1,True
INV89,49TDNt56239XZ4,27ZHHv14320zZ5,73246,13184.28,2024-01,NONE,False
INV90,97zqjC86088DZ8,20YIAO67826uZ0,14165,2549.7,2024-02,LATE_FILING,True
INV91,76JBlr88649nZ4,53rXRo64677pZ4,48692,13146.84,2024-03,GST_MISMATCH,True
INV92,56ltXs62136JZ8,56NGMZ70435CZ1,90314,16256.52,2024-01,NONE,False
INV93,78kzcB53043FZ6,30qRRJ37892XZ0,50512,9092.16,2024-03,NO_GSTR1,True
INV94,89tWqJ25600DZ8,80aNNi79553sZ6,7545,1358.1,2024-01,NONE,False
INV95,83dyhP45590xZ5,30qRRJ37892XZ0,29895,5381.1,2024-01,NO_GSTR1,True
INV96,74otQe32489VZ2,50ZSTy36628HZ4,95897,17261.46,2024-01,NONE,False
INV97,40Hblc63660KZ5,01zTkl97098AZ9,23209,4177.62,2024-01,NONE,False
INV98,75KVnk39538oZ9,61cXrT58079tZ6,17162,3089.16,2024-02,NONE,False
INV99,67yOsi67786ZZ2,66wzgH65390cZ9,73804,13284.72,2024-02,HIGH_VALUE_SUSPICIOUS,True
INV100,68gRKX87293uZ3,90PGuA23277kZ6,94684,17043.12,2024-01,NONE,False
INV101,43kHaM76609sZ3,52mVzJ22802EZ5,11103,1998.54,2024-01,NONE,False
INV102,16Tpht16985yZ4,49TDNt56239XZ4,49938,8988.84,2024-03,NONE,False
INV103,41saXq80858tZ5,34ZnzD87385zZ9,46246,8324.28,2024-02,NONE,False
INV104,71uYRh91112rZ5,47MvYg39695RZ8,52106,9379.08,2024-01,HIGH_VALUE_SUSPICIOUS,True
INV105,40FVIE17882HZ8,25iiAu72413YZ7,19036,3426.48,2024-02,NONE,False
INV106,38OXwq99935HZ9,42NpSi95695FZ2,84416,15194.88,2024-02,NONE,False
INV107,03Jmhx57093WZ9,96ygnP10295iZ2,13149,2366.82,2024-03,NONE,False
INV108,25mbLX75451dZ1,66anUG91932KZ0,95362,17165.16,2024-01,NONE,False
INV109,58VpEE02155SZ8,98vMnh86938ZZ6,67979,12236.22,2024-01,NONE,False
INV110,31wznq89399cZ1,78ClZz51236AZ0,80501,14490.18,2024-02,HIGH_VALUE_SUSPICIOUS,True
INV111,28ZnaJ98237RZ5,79ebMz50521iZ3,90356,16264.08,2024-01,NONE,False
INV112,16juLm32353bZ4,60ZLNR83051SZ8,19870,3576.6,2024-02,NONE,False
INV113,57OwoT14272WZ5,98vMnh86938ZZ6,24525,4414.5,2024-02,LATE_FILING,True
INV114,38odlo86584yZ3,78cGFg01767jZ7,48760,13165.199999999999,2024-03,GST_MISMATCH,True
INV115,67bvfX98249UZ1,76FnlE93061BZ0,92710,16687.8,2024-02,NONE,False
INV116,25qEME10635DZ7,16juLm32353bZ4,42062,7571.16,2024-01,NONE,False
INV117,27gvYE67357qZ4,56NGMZ70435CZ1,46463,8363.34,2024-01,HIGH_VALUE_SUSPICIOUS,True
INV118,71QOgH61637aZ7,29bhzS45899xZ6,65718,11829.24,2024-03,NONE,False
INV119,26kFJo36541SZ8,09ATzr93558KZ8,60074,10813.32,2024-03,NONE,False
INV120,21mOik94310mZ3,19diih27459RZ9,15887,2859.66,2024-01,NONE,False
INV121,14kcVd35934uZ6,78EGaQ48136gZ7,41389,7450.02,2024-01,NONE,False
INV122,98ogmG23767uZ3,11fyjD01194EZ8,79160,14248.8,2024-03,NONE,False
INV123,91HqDz49570pZ2,58laFN26531MZ5,53607,14473.89,2024-02,GST_MISMATCH,True
INV124,75fssf82632OZ3,45yawy67776dZ3,12210,2197.8,2024-01,NONE,False
INV125,90pRLg42834WZ0,34dBsv41200NZ8,58187,10473.66,2024-02,NONE,False
INV126,75CCqT63479EZ4,33sZEX63112oZ6,71858,12934.44,2024-01,NONE,False
INV127,34YkzE49624EZ3,33eGQB74370JZ4,83518,22549.86,2024-01,GST_MISMATCH,True
INV128,05tVic08396GZ7,06NGfZ87122cZ4,53781,9680.58,2024-03,NONE,False
INV129,90EUWe03741WZ6,01JrVQ05945yZ0,59208,10657.44,2024-02,NONE,False
INV130,01iVAo65853CZ0,72eYPC83341aZ1,48531,8735.58,2024-01,NONE,False
INV131,18qCFh12925MZ4,64QDNk34164gZ4,40556,7300.08,2024-03,LATE_FILING,True
INV132,99wfil19985sZ0,81kdQz90290rZ4,61234,11022.12,2024-02,NONE,False
INV133,92zasY26230FZ2,87upSF17409rZ9,11280,2030.4,2024-01,NONE,False
INV134,67lVHd07181FZ4,63EDHW55351PZ7,47252,8505.36,2024-03,NONE,False
INV135,36eGMd24767NZ0,25mbLX75451dZ1,29935,5388.3,2024-03,NONE,False
INV136,30PrHb19783UZ4,56NGMZ70435CZ1,97702,26379.54,2024-03,GST_MISMATCH,True
INV137,74cKLz47648YZ5,21rFbu32928mZ8,72401,13032.18,2024-02,NONE,False
INV138,06sGFS15631qZ8,40FVIE17882HZ8,26433,4757.94,2024-01,NONE,False
INV139,02bijZ78553yZ2,39BQFH78992gZ1,14979,2696.22,2024-01,NONE,False
INV140,26Iakm97287gZ7,59GpmF35288bZ3,20654,3717.72,2024-02,NONE,False
INV141,66Xsjt34944TZ4,96FVRl77296LZ9,56605,10188.9,2024-02,NONE,False
INV142,50faoW78282yZ0,71uYRh91112rZ5,74564,13421.52,2024-03,NONE,False
INV143,83Jdhv76468PZ9,38odlo86584yZ3,62063,11171.34,2024-02,NONE,False
INV144,65fmZE98080eZ0,08laHq91882tZ0,62880,11318.4,2024-01,LATE_FILING,True
INV145,91HqDz49570pZ2,49kbvb68497sZ0,63210,11377.8,2024-01,NONE,False
INV146,88Izgh89477CZ6,15sdrk16558XZ8,80939,14569.02,2024-02,NO_GSTR1,True
INV147,09ATzr93558KZ8,20lXvv02892sZ3,75301,13554.18,2024-01,NONE,False
INV148,74wtfX98882qZ4,77uRIY60355EZ5,64264,11567.52,2024-03,NONE,False
INV149,97edol45538yZ6,41Tlif11279eZ2,45290,8152.2,2024-01,NONE,False
INV150,96XBNL90682AZ3,27gvYE67357qZ4,57678,10382.04,2024-02,NO_GSTR1,True
INV151,67lgpY01757sZ7,09pplp05886UZ3,84371,15186.78,2024-01,NONE,False
INV152,30gZFr41292mZ4,29NfWP69375eZ9,99982,17996.76,2024-02,NONE,False
INV153,76uqCi16414BZ6,79COan66254PZ3,55007,9901.26,2024-01,HIGH_VALUE_SUSPICIOUS,True
INV154,02jEaV97910zZ5,85ouKi56337BZ8,79205,14256.9,2024-01,NONE,False
INV155,83Jdhv76468PZ9,91bblz60068xZ4,21982,3956.76,2024-01,NONE,False
INV156,54Zmxz44941dZ9,76uqCi16414BZ6,85325,15358.5,2024-02,NO_GSTR1,True
INV157,23ULhs20108oZ6,74mjEE84729yZ0,75760,20455.199999999997,2024-03,GST_MISMATCH,True
INV158,11cyJh50623cZ6,77lTMC87020xZ2,60494,10888.92,2024-02,HIGH_VALUE_SUSPICIOUS,True
INV159,26eqAY84470FZ9,39aVnz11613mZ3,62566,11261.88,2024-02,NONE,False
INV160,05VAuc21703WZ1,75ARtt11618GZ9,5677,1532.79,2024-03,GST_MISMATCH,True
INV161,55PcUO03371VZ7,28tpem00924DZ1,55330,9959.4,2024-02,NONE,False
INV162,10qLPi02464SZ2,69kOip57522hZ4,18809,3385.62,2024-02,NONE,False
INV163,38DgqK48706sZ2,08ywxr33311jZ5,4435,798.3,2024-01,NONE,False
INV164,50FGLS34164vZ0,77uRIY60355EZ5,72917,13125.06,2024-02,HIGH_VALUE_SUSPICIOUS,True
INV165,09gPiX13357TZ4,48qngM09756dZ0,76731,13811.58,2024-01,NONE,False
INV166,96IVKR04592PZ2,40Ebwx93755OZ7,10312,1856.16,2024-03,NONE,False
INV167,37mGLv90649xZ6,23TypH15761EZ8,8399,1511.82,2024-02,NONE,False
INV168,29wRfq61178CZ6,58TrHD49795DZ8,72611,13069.98,2024-02,LATE_FILING,True
INV169,29wRfq61178CZ6,61CILN18217rZ9,83565,15041.7,2024-02,NONE,False
INV170,52OGMG87584GZ2,11fyjD01194EZ8,59746,10754.28,2024-03,NONE,False
INV171,75ntcX87353DZ1,38iuuy18928NZ2,52714,9488.52,2024-02,NONE,False
INV172,22KKmG92472aZ0,18AfHP63416JZ1,23384,4209.12,2024-03,HIGH_VALUE_SUSPICIOUS,True
INV173,88Izgh89477CZ6,35zRtV01214DZ9,67610,12169.8,2024-01,NONE,False
INV174,62qasP48244SZ7,00HEhn48080DZ3,81132,14603.76,2024-01,HIGH_VALUE_SUSPICIOUS,True
INV175,14bYmi49948iZ3,66Xsjt34944TZ4,92617,16671.06,2024-01,NONE,False
INV176,67MHhT85950vZ9,23ULhs20108oZ6,81773,14719.14,2024-03,NONE,False
INV177,66Fike76351sZ6,25qEME10635DZ7,69694,12544.92,2024-02,NONE,False
INV178,76uqCi16414BZ6,13umoZ80244LZ4,59987,10797.66,2024-01,NONE,False
INV179,83vnAw87875aZ7,16Tpht16985yZ4,96213,17318.34,2024-01,NONE,False
INV180,87BZzn15754QZ3,59qkQi27526iZ6,29915,5384.7,2024-01,NO_GSTR1,True
INV181,46mctm99217iZ0,13umoZ80244LZ4,17568,3162.24,2024-03,NONE,False
INV182,96IVKR04592PZ2,35hTYr06161aZ7,58272,10488.96,2024-02,NONE,False
INV183,53rXRo64677pZ4,96FfpY79250HZ2,98393,17710.74,2024-02,NONE,False
INV184,12RRns22388IZ9,55XUrF97891fZ9,82350,14823.0,2024-03,NONE,False
INV185,77txoy17340qZ1,88Izgh89477CZ6,38664,6959.52,2024-02,NONE,False
INV186,39zhaP53952aZ4,77AUWF66339MZ8,93773,16879.14,2024-01,NONE,False
INV187,87BvWD94002mZ8,91bblz60068xZ4,9252,1665.36,2024-01,NONE,False
INV188,96XBNL90682AZ3,82UWKN78987iZ2,26444,4759.92,2024-01,NONE,False
INV189,73qatE53155NZ4,41saXq80858tZ5,9938,1788.84,2024-02,NONE,False
INV190,47vhQo89178XZ5,68rfEM73021qZ5,26702,4806.36,2024-03,NO_GSTR1,True
INV191,76FnlE93061BZ0,20jkud55620pZ6,67701,12186.18,2024-02,NONE,False
INV192,39aVnz11613mZ3,97edol45538yZ6,57441,10339.38,2024-03,NO_GSTR1,True
INV193,16Tpht16985yZ4,45yawy67776dZ3,4478,806.04,2024-02,NONE,False
INV194,67yOsi67786ZZ2,35zRtV01214DZ9,84144,15145.92,2024-02,NONE,False
INV195,82UWKN78987iZ2,39PQJt39312QZ4,68445,12320.1,2024-03,HIGH_VALUE_SUSPICIOUS,True
INV196,46stGa31957gZ7,93vjUz79358rZ8,79130,14243.4,2024-03,NONE,False
INV197,74Avec47845TZ5,04bjCy81308uZ1,42497,7649.46,2024-03,NONE,False
INV198,72eYPC83341aZ1,69ZMcE69251IZ1,13720,2469.6,2024-01,NONE,False
INV199,79WWDe75723AZ7,83dyhP45590xZ5,37033,6665.94,2024-01,NO_GSTR1,True
INV200,07yUvp41265VZ2,22wJVw92984lZ2,1084,195.12,2024-03,NONE,False
INV201,86kMFr51350nZ9,29gBNo29431jZ5,64859,17511.93,2024-01,GST_MISMATCH,True
INV202,50ZSTy36628HZ4,77txoy17340qZ1,78629,14153.22,2024-03,LATE_FILING,True
INV203,25qEME10635DZ7,38tUOw83036SZ5,42915,7724.7,2024-02,NONE,False
INV204,38jPak45230tZ2,12RRns22388IZ9,29104,5238.72,2024-03,HIGH_VALUE_SUSPICIOUS,True
INV205,74yVpk12367aZ1,89dEWk66672BZ6,86415,15554.7,2024-03,NONE,False
INV206,23ULhs20108oZ6,73qatE53155NZ4,36668,6600.24,2024-03,NONE,False
INV207,72DJxB60481iZ8,77uRIY60355EZ5,73992,13318.56,2024-02,NONE,False
INV208,47cuzX71918AZ1,58Ygee72881JZ7,73377,13207.86,2024-02,NONE,False
INV209,23TypH15761EZ8,82gODj81061VZ9,94000,16920.0,2024-02,NONE,False
INV210,87BvWD94002mZ8,82cLiS48678bZ3,80232,14441.76,2024-02,NONE,False
INV211,83nHoC02141UZ4,16juLm32353bZ4,17191,3094.38,2024-02,NO_GSTR1,True
INV212,03Jmhx57093WZ9,87DQFD28049yZ8,25342,4561.56,2024-01,NONE,False
INV213,13umoZ80244LZ4,21rFbu32928mZ8,88379,15908.22,2024-01,NONE,False
INV214,88Izgh89477CZ6,11fyjD01194EZ8,31922,5745.96,2024-01,NONE,False
INV215,48piUU72161aZ9,92hVBT32904NZ5,53718,9669.24,2024-01,NONE,False
INV216,26cBOG73657yZ8,59GWRp70646yZ8,4170,750.6,2024-03,NONE,False
INV217,74cKLz47648YZ5,92tZFq27187UZ3,63836,11490.48,2024-01,NONE,False
INV218,67lVHd07181FZ4,02bijZ78553yZ2,56542,10177.56,2024-03,NONE,False
INV219,96swUv53902FZ8,54ifgt21692qZ9,13896,2501.28,2024-03,NONE,False
INV220,67MHhT85950vZ9,35fgLI65667dZ8,25059,6765.93,2024-02,GST_MISMATCH,True
INV221,06LaHj10459aZ6,38DgqK48706sZ2,11590,2086.2,2024-03,NONE,False
INV222,78EGaQ48136gZ7,98lbRU19802UZ5,96179,17312.22,2024-03,NONE,False
INV223,92hVBT32904NZ5,71QOgH61637aZ7,95446,17180.28,2024-01,NO_GSTR1,True
INV224,38iuuy18928NZ2,06NGfZ87122cZ4,2086,375.48,2024-02,NONE,False
INV225,86kMFr51350nZ9,81JbJs71787cZ6,51452,13892.04,2024-03,GST_MISMATCH,True
INV226,78cGFg01767jZ7,96XBNL90682AZ3,96268,17328.24,2024-01,LATE_FILING,True
INV227,27gvYE67357qZ4,11nmPv34412yZ6,42020,7563.6,2024-03,NONE,False
INV228,52xIID70959MZ8,77uRIY60355EZ5,9946,1790.28,2024-01,NONE,False
INV229,58VpEE02155SZ8,45VtlW98083aZ0,58960,10612.8,2024-03,NONE,False
INV230,26GlCl73429zZ6,89dEWk66672BZ6,84693,15244.74,2024-03,NONE,False
INV231,29gLcI60645jZ9,87upSF17409rZ9,87009,15661.62,2024-02,NONE,False
INV232,65fmZE98080eZ0,87bZcN15979fZ3,38723,6970.14,2024-01,NONE,False
INV233,08gJgo85913mZ8,07yUvp41265VZ2,19532,3515.76,2024-02,NONE,False
INV234,67lVHd07181FZ4,00BbWJ71133FZ2,81131,14603.58,2024-02,NONE,False
INV235,21rQeC42192VZ3,52xIID70959MZ8,69378,12488.04,2024-03,NONE,False
INV236,13tpyU56130JZ6,11fyjD01194EZ8,54186,9753.48,2024-02,NONE,False
INV237,54ifgt21692qZ9,37mGLv90649xZ6,10108,1819.44,2024-03,NONE,False
INV238,38odlo86584yZ3,74mjEE84729yZ0,88495,15929.1,2024-01,NONE,False
INV239,74vehE67338iZ0,71guuD25535VZ9,13620,2451.6,2024-03,NONE,False
INV240,20fqzW14359DZ2,49TDNt56239XZ4,41298,11150.460000000001,2024-03,GST_MISMATCH,True
INV241,08laHq91882tZ0,01pNwE17281PZ5,34108,6139.44,2024-01,NONE,False
INV242,41saXq80858tZ5,95UTVv36323bZ4,10052,1809.36,2024-02,NONE,False
INV243,31UMZj57050jZ3,96swUv53902FZ8,41517,7473.06,2024-01,LATE_FILING,True
INV244,06NGfZ87122cZ4,00sjGJ39413lZ1,14040,2527.2,2024-01,NONE,False
INV245,29jhAI15885UZ0,86gflK19806UZ2,35341,6361.38,2024-01,NONE,False
INV246,39yRSB91817iZ1,88kkau56046SZ4,29673,5341.14,2024-03,NONE,False
INV247,72zgwr69323oZ5,21tUhs24310jZ6,41227,7420.86,2024-01,HIGH_VALUE_SUSPICIOUS,True
INV248,27IyIS69304SZ4,08cVmf05582aZ5,78851,14193.18,2024-01,LATE_FILING,True
INV249,46mctm99217iZ0,66wzgH65390cZ9,18600,3348.0,2024-01,NONE,False
INV250,76FnlE93061BZ0,33fxUX66655eZ1,17456,3142.08,2024-01,NONE,False
INV251,50ZSTy36628HZ4,03TFqU34199HZ0,62333,11219.94,2024-01,NONE,False
INV252,79ebMz50521iZ3,47VrGh15103XZ4,85155,15327.9,2024-03,NONE,False
INV253,22fhYI85958zZ1,33eGQB74370JZ4,16983,3056.94,2024-01,NONE,False
INV254,79WWDe75723AZ7,97zqjC86088DZ8,98995,17819.1,2024-03,NONE,False
INV255,55rcNC70547UZ5,78uSWW03552mZ0,74307,13375.26,2024-01,NONE,False
INV256,39yRSB91817iZ1,35TYRA33588rZ1,54130,9743.4,2024-02,NONE,False
INV257,07QGrm89645tZ3,22KKmG92472aZ0,10286,1851.48,2024-02,NONE,False
INV258,39zhaP53952aZ4,98ogmG23767uZ3,91599,16487.82,2024-01,NONE,False
INV259,93NGBI15327IZ0,92tZFq27187UZ3,22715,4088.7,2024-03,LATE_FILING,True
INV260,66swiT46789rZ8,61HdUi73085AZ0,93854,16893.72,2024-03,NONE,False
INV261,67yOsi67786ZZ2,30PrHb19783UZ4,44922,8085.96,2024-02,NONE,False
INV262,20lXvv02892sZ3,67lVHd07181FZ4,36669,6600.42,2024-03,NONE,False
INV263,68rfEM73021qZ5,45yawy67776dZ3,28052,5049.36,2024-03,NONE,False
INV264,77UAUE92127bZ2,96swUv53902FZ8,97528,17555.04,2024-02,NONE,False
INV265,83srhc55431dZ7,06fxbZ47378sZ3,67296,12113.28,2024-02,LATE_FILING,True
INV266,96swUv53902FZ8,56NGMZ70435CZ1,78486,14127.48,2024-01,NONE,False
INV267,16vdrd77675WZ4,83BAMJ12615jZ6,91781,16520.58,2024-03,NONE,False
INV268,92tZFq27187UZ3,83dyhP45590xZ5,27415,4934.7,2024-02,NONE,False
INV269,39aVnz11613mZ3,76EPBq90928HZ0,24620,4431.6,2024-02,NONE,False
INV270,83ZFIa03349CZ1,30aSEJ24658vZ5,5978,1076.04,2024-02,NONE,False
INV271,94ebED18554dZ8,83nHoC02141UZ4,79498,14309.64,2024-02,NONE,False
INV272,14maDm13092CZ8,20Mdbd87735wZ7,58154,10467.72,2024-01,HIGH_VALUE_SUSPICIOUS,True
INV273,08cVmf05582aZ5,16RVLp52995hZ6,80704,14526.72,2024-01,NONE,False
INV274,45qbTW99466yZ5,16Xbnw56696CZ0,46200,8316.0,2024-03,NONE,False
INV275,00sjGJ39413lZ1,16vdrd77675WZ4,54348,9782.64,2024-03,NONE,False
INV276,30aSEJ24658vZ5,74Nfff78511IZ3,98538,17736.84,2024-02,NONE,False
INV277,50BpkG34585gZ6,52EBTr59578YZ9,33403,6012.54,2024-03,NONE,False
INV278,65fmZE98080eZ0,07QGrm89645tZ3,9502,2565.54,2024-02,GST_MISMATCH,True
INV279,84BVnO41912HZ4,52pgZl62947SZ9,26757,4816.26,2024-01,NONE,False
INV280,49lPfX36080wZ9,65fmZE98080eZ0,16819,3027.42,2024-03,NONE,False
INV281,87bZcN15979fZ3,02tjkx18406rZ3,4607,829.26,2024-01,NONE,False
INV282,04YhSo46760OZ7,90PGuA23277kZ6,91961,16552.98,2024-03,NONE,False
INV283,41Tlif11279eZ2,72zgwr69323oZ5,62439,11239.02,2024-02,NONE,False
INV284,87BZzn15754QZ3,55tfQq09696BZ9,53735,9672.3,2024-01,NONE,False
